CLASSIFICADOR,F1,PRECISAO,REVOGACAO,TESTE [s] ,TREINAMENTO [s]
"One-Class SVM: {'gamma': 0.01, 'kernel': 'rbf', 'nu': 0.1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0005214214324951172,0.005984067916870117
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'sigmoid', 'nu': 0.5}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019943714141845703,0.0019958019256591797
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.1, 'leaf_size': 30, 'metric': 'cosine', 'n_neighbors': 5, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.007979393005371094,0.0059833526611328125
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 30, 'metric': 'correlation', 'n_neighbors': 20, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019941329956054688,0.0029921531677246094
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 30, 'metric': 'cosine', 'n_neighbors': 10, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0059833526611328125,0.0029926300048828125
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 30, 'metric': 'cosine', 'n_neighbors': 15, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.001994609832763672,0.0019943714141845703
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 30, 'metric': 'cosine', 'n_neighbors': 20, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019941329956054688,0.0029914379119873047
"One-Class SVM: {'gamma': 0.001, 'kernel': 'linear', 'nu': 0.5}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.000997781753540039,0.0009965896606445312
"One-Class SVM: {'gamma': 0.001, 'kernel': 'linear', 'nu': 0.1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.001993894577026367,0.001995086669921875
"One-Class SVM: {'gamma': 0.001, 'kernel': 'linear', 'nu': 0.01}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009980201721191406,0.001993894577026367
"One-Class SVM: {'gamma': 0.001, 'kernel': 'linear', 'nu': 0.001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009975433349609375,0.0019948482513427734
"One-Class SVM: {'gamma': 0.001, 'kernel': 'linear', 'nu': 0.0001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.000997304916381836,0.001995086669921875
"One-Class SVM: {'gamma': 'scale', 'kernel': 'sigmoid', 'nu': 0.001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.002991199493408203,0.002992868423461914
"One-Class SVM: {'gamma': 0.001, 'kernel': 'rbf', 'nu': 0.1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.000997304916381836,0.0009975433349609375
"One-Class SVM: {'gamma': 'scale', 'kernel': 'sigmoid', 'nu': 0.01}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.005984306335449219,0.004986286163330078
"One-Class SVM: {'gamma': 'scale', 'kernel': 'sigmoid', 'nu': 0.1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0029921531677246094,0.001995086669921875
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'rbf', 'nu': 0.1}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009975433349609375,0.0019941329956054688
"One-Class SVM: {'gamma': 'scale', 'kernel': 'sigmoid', 'nu': 0.5}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.001994609832763672,0.001994609832763672
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.05, 'leaf_size': 45, 'metric': 'braycurtis', 'n_neighbors': 5, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019936561584472656,0.004987239837646484
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'linear', 'nu': 0.0001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.002991914749145508,0.0019948482513427734
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 0.01, 'leaf_size': 15, 'metric': 'correlation', 'n_neighbors': 20, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.001995086669921875,0.0019936561584472656
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'sqeuclidean', 'n_neighbors': 5, 'novelty': True}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0029916763305664062,0.001994609832763672
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'linear', 'nu': 0.001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0019943714141845703,0.001993417739868164
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'linear', 'nu': 0.5}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.003989458084106445,0.0019936561584472656
